Feature,Importance,Percentage
Gene_SPARCL1,0.03599983242300247,3.599983242300247
Gene_PMP22,0.032308391328330376,3.2308391328330375
Gene_SMIM10,0.030393909107780018,3.039390910778002
Gene_DACT3,0.028718170585446838,2.871817058544684
Gene_NEXN,0.02516318948538664,2.516318948538664
Gene_SLC24A3,0.024255377699991,2.4255377699991
Gene_HEPH,0.021412067547628786,2.141206754762879
Gene_EDNRA,0.02101774515293936,2.101774515293936
Gene_SYDE1,0.020907937949781137,2.0907937949781137
Gene_CNRIP1,0.0195535129198293,1.9553512919829301
Gene_SLC16A4,0.01898793030288577,1.898793030288577
Gene_PTGIS,0.01849925368986625,1.849925368986625
Gene_LMOD1,0.017922641191932397,1.7922641191932396
Gene_INMT,0.016448428950611434,1.6448428950611433
Gene_EGFLAM,0.015354802440640667,1.5354802440640667
Gene_PLPP7,0.015004114669222742,1.5004114669222741
Gene_CLIP3,0.014627277297339219,1.4627277297339218
Gene_KCNJ8,0.014136765387560951,1.413676538756095
Gene_IRAG1,0.01382982101237872,1.382982101237872
Gene_KCNMB1,0.013542543946730053,1.3542543946730052
Gene_NAALADL1,0.013540585390040527,1.3540585390040527
Gene_TCEAL7,0.012791650856599952,1.2791650856599952
Gene_BHMT2,0.01271999557776783,1.2719995577767829
Gene_CARMN,0.01205244386181012,1.205244386181012
Gene_CAV2,0.012047874413165563,1.2047874413165562
Gene_ASB2,0.011941441293385415,1.1941441293385415
Gene_ADGRA2,0.011929841028306253,1.1929841028306254
Gene_TNS1,0.011730573257707674,1.1730573257707675
Gene_GLT8D2,0.010797851365764598,1.07978513657646
Gene_DNM3OS,0.008671109028417069,0.8671109028417069
Gene_MAGI2-AS3,0.008568454247628195,0.8568454247628196
Gene_CAVIN1,0.008471498280975882,0.8471498280975882
Gene_FGF2,0.008439441672131563,0.8439441672131562
Gene_TNFAIP8L3,0.00842824632207693,0.842824632207693
Gene_HSPB7,0.00835096044822839,0.835096044822839
Gene_MSRB3,0.007994568660998314,0.7994568660998314
Gene_LAMA4,0.007954492051740179,0.7954492051740178
Gene_EYA4,0.007732465537218665,0.7732465537218666
Gene_STOM,0.007660487006397717,0.7660487006397717
Gene_JPH2,0.007630115357746631,0.7630115357746631
Gene_SORBS1,0.007545001391036398,0.7545001391036398
Gene_FHL1,0.007508776225835498,0.7508776225835498
Gene_DBNDD2,0.0074338334959273685,0.7433833495927369
Gene_ACTA2,0.007249699438222205,0.7249699438222205
Gene_MPP2,0.007070216769996765,0.7070216769996764
Gene_FOXF1,0.006724938497093093,0.6724938497093093
Gene_TMLHE,0.006589393690401074,0.6589393690401074
Gene_MEIS1,0.006499494128656612,0.6499494128656612
Gene_ZEB1,0.006115368044261023,0.6115368044261024
Gene_NES,0.005711790669236277,0.5711790669236277
Gene_ATP2B4,0.005700410762376173,0.5700410762376174
Gene_GSTM5,0.005460873418005126,0.5460873418005125
Gene_FZD7,0.005303442867255694,0.5303442867255693
Gene_GFPT2,0.004985889665889133,0.49858896658891333
Gene_JAM2,0.004189181478046239,0.4189181478046239
Gene_DKK3,0.004120648795516845,0.4120648795516845
Gene_MATN2,0.0038507356262558723,0.38507356262558723
Gene_DNAJB5,0.0037776575177056954,0.37776575177056954
Gene_CFH,0.00370879810357172,0.370879810357172
Gene_BOC,0.003555544319754289,0.3555544319754289
Gene_GIPC2,0.0034696314520667134,0.3469631452066713
Gene_SERPING1,0.00344901431529176,0.344901431529176
Gene_ARHGEF25,0.003370447543389715,0.3370447543389715
Gene_IGFBP4,0.003259325109298058,0.3259325109298058
Gene_GSN,0.003236564621982366,0.3236564621982366
Gene_PDE5A,0.0031535261603081303,0.31535261603081305
Gene_RASGRF2,0.0030272855899285854,0.30272855899285855
Gene_TMEM200B,0.0029076650956611897,0.290766509566119
Gene_ADAMTS8,0.0028471036834842468,0.28471036834842467
Gene_CYS1,0.002843515195515465,0.28435151955154647
Gene_MXRA7,0.0028214968299381657,0.28214968299381654
Gene_ANXA6,0.0028212293533637304,0.28212293533637306
Gene_PDLIM7,0.002817383230613881,0.2817383230613881
Gene_GYPC,0.0027571019966455357,0.27571019966455357
Gene_TGFB1I1,0.0027308467131675024,0.27308467131675024
Gene_ABCC9,0.002533241021668458,0.2533241021668458
Gene_TCF7L1,0.002457916708524243,0.2457916708524243
Gene_GSDME,0.0024444629619058207,0.24444629619058209
Gene_PRNP,0.0023917365904783045,0.23917365904783044
Gene_AXL,0.0023707989896903673,0.23707989896903672
Gene_MAMDC2,0.0023334665315260517,0.23334665315260517
Methylation_cg10136560,0.0023134878451412343,0.23134878451412344
Methylation_cg05127924,0.002298287015546244,0.2298287015546244
Gene_MFGE8,0.002297612421465806,0.22976124214658059
Methylation_cg04133658,0.002293960477849232,0.22939604778492317
Gene_TSPAN2,0.0022074789303087664,0.22074789303087664
Gene_PNMA8B,0.002199653670023736,0.2199653670023736
Gene_TIMP2,0.002150032039502181,0.2150032039502181
Gene_MRC2,0.002122101952678622,0.21221019526786222
Gene_FHL2,0.002111670585795678,0.2111670585795678
Gene_EFEMP2,0.002088302775864794,0.2088302775864794
Gene_C1orf54,0.0020768011388199534,0.20768011388199534
Gene_ACSS3,0.0020644294810941407,0.20644294810941408
Methylation_cg04717534,0.002055499357718512,0.2055499357718512
Methylation_cg27531366,0.0020263362958680693,0.20263362958680692
Gene_GLIS2,0.0020193495002192377,0.20193495002192377
Gene_FXYD6,0.002010106001698862,0.20101060016988623
Methylation_cg01341751,0.0019884625539203548,0.1988462553920355
Gene_IFFO1,0.0019829940419418537,0.19829940419418537
Gene_FBLN1,0.0019775051943652414,0.19775051943652414
Gene_GAS6,0.0019758279831884715,0.19758279831884715
Methylation_cg08594681,0.0019713835643201624,0.19713835643201624
Gene_SPEG,0.0019546664130253946,0.19546664130253946
Gene_NHSL2,0.0018917060941848914,0.18917060941848915
Methylation_cg02928928,0.0018545735258983444,0.18545735258983445
Gene_RBMS3,0.0018367352777109796,0.18367352777109797
Methylation_cg12636499,0.0018287902026254432,0.18287902026254432
Gene_POPDC2,0.00181614175884819,0.181614175884819
Methylation_cg22644320,0.0018158764035467615,0.18158764035467614
Gene_PGR,0.0017746566084584493,0.17746566084584492
Gene_FOXC1,0.0017729504527806668,0.1772950452780667
Methylation_cg19731612,0.0017711818484682472,0.17711818484682473
Gene_WFIKKN2,0.0017615463320201715,0.17615463320201716
Methylation_cg09264782,0.001724900188045023,0.1724900188045023
Methylation_cg14215711,0.0016880267285853939,0.1688026728585394
Methylation_cg23118561,0.0016819690405548776,0.16819690405548776
Gene_PPP1R12B,0.0016779918371460818,0.16779918371460817
Gene_DPYSL2,0.001666415881584782,0.1666415881584782
Gene_SLC47A1,0.0016450211654275581,0.16450211654275582
Methylation_cg05371791,0.0016263536027294903,0.16263536027294903
Methylation_cg01114124,0.001609362456151736,0.1609362456151736
Gene_BMERB1,0.0015931004460988192,0.1593100446098819
Gene_CACNA2D3,0.0015850554820907585,0.15850554820907586
Methylation_cg08384155,0.0015796472837743113,0.15796472837743114
Methylation_cg26895569,0.0015698073682890706,0.15698073682890706
Gene_MYH11,0.0015330525418444409,0.15330525418444407
Methylation_cg18503912,0.0015295048125998055,0.15295048125998054
Gene_SYNPO2,0.0015179678320544968,0.15179678320544968
Gene_TGFBR3,0.0015088438575898238,0.1508843857589824
Methylation_cg21251563,0.0015086212926263703,0.15086212926263703
Gene_RASL12,0.0015062665805606681,0.15062665805606681
Gene_PRKG1,0.0014648346823629395,0.14648346823629396
Gene_WFDC1,0.001434338440830449,0.1434338440830449
Methylation_cg17552357,0.00142358011198305,0.142358011198305
Methylation_cg21410293,0.0013983466269886422,0.13983466269886421
Gene_EMILIN1,0.001375424793707332,0.1375424793707332
Methylation_cg24067652,0.0013708735259432522,0.13708735259432522
Methylation_cg26196424,0.0013591952966894348,0.1359195296689435
Methylation_cg16274024,0.0013590775894011442,0.13590775894011442
Methylation_cg21450888,0.0013498848637047444,0.13498848637047445
Gene_CCDC80,0.001345987586462946,0.13459875864629461
Gene_MB21D2,0.0013385518411311206,0.13385518411311206
Methylation_cg18575863,0.0013053010887032115,0.13053010887032115
Gene_DDR2,0.0013002470520243447,0.13002470520243448
Gene_RBPMS,0.001284734850183887,0.1284734850183887
Methylation_cg05115862,0.0012717042405261294,0.12717042405261295
Gene_SYT11,0.001267059642135465,0.12670596421354652
Methylation_cg16073408,0.0012666880301993855,0.12666880301993855
Gene_FENDRR,0.0011650289725234784,0.11650289725234785
Methylation_cg15455864,0.0011617199870791331,0.11617199870791331
Methylation_cg16438182,0.001144626724466095,0.11446267244660949
Gene_HSPB6,0.0011393050223698616,0.11393050223698616
Methylation_cg09068286,0.0011339974832220033,0.11339974832220033
Methylation_cg17929770,0.0010926262956720927,0.10926262956720927
